style,painting
High_Renaissance,titian_the-virgin-and-child-with-four-saints.jpg
Impressionism,camille-pissarro_apple-trees-and-poplars-in-the-setting-sun-1901.jpg
Impressionism,berthe-morisot_fall-colors-in-the-bois-de-boulogne.jpg
Impressionism,john-singer-sargent_shipping-majorca-1908.jpg
Mannerism_Late_Renaissance,titian_venus-and-adonis-1559.jpg
Mannerism_Late_Renaissance,tintoretto_marriage-at-cana-1561.jpg
Mannerism_Late_Renaissance,hans-von-aachen_portrait-of-rudolf-ii-holy-roman-emperor-1608.jpg
Minimalism,jean-degottex_breve-1985.jpg
Minimalism,yves-klein_untitled-yellow-pink-monochrome-1955.jpg
Minimalism,brice-marden_d-apr-s-la-marquise-de-la-solana-1969.jpg
Pop_Art,valerio-adami_interno-con-piano-forte-1968.jpg
Pop_Art,tano-festa_omaggio-alla-pittura.jpg
Pop_Art,andy-warhol_self-portrait-camouflage-1986.jpg
Post_Impressionism,paul-cezanne_bathers-1891.jpg
Post_Impressionism,vincent-van-gogh_the-ballroom-at-arles-1888.jpg
Post_Impressionism,maurice-prendergast_still-life-apples-vase-1915.jpg
Rococo,william-hogarth_visit-with-the-quack-doctor.jpg
Rococo,hubert-robert_the-washer-women-1792.jpg
Rococo,louise-elisabeth-vigee-le-brun_portrait-of-prince-henry-lubomirski-as-the-genius-of-fame-1789.jpg
Ukiyo_e,kitagawa-utamaro_drunken-courtesan.jpg
Ukiyo_e,utagawa-toyokuni-ii_the-scholar-sugawara-no-michizane.jpg
Ukiyo_e,utagawa-kuniyoshi_watanabe-tsuna-fighting-the-demon-at-the-rashomon.jpg
Abstract_Expressionism,conrad-marca-relli_j-m-3-81-1981.jpg
Abstract_Expressionism,peter-busa_embullient-chord.jpg
Abstract_Expressionism,john-hoyland_saracen-1977.jpg
Art_Nouveau_Modern,aladar-korosfoi-kriesch_memory-1905.jpg
Art_Nouveau_Modern,henri-de-toulouse-lautrec_ambroise-thomas-assistant-at-a-rehearsal-of-francoise-de-rimini-1896.jpg
Art_Nouveau_Modern,carlos-saenz-de-tejada_the-life-of-st-ignatius-loyola-plate-4-ignatius-and-his-friend-francis-xavier-at-the-university.jpg
Color_Field_Painting,ray-parker_untitled-1979.jpg
Color_Field_Painting,helen-frankenthaler_pendulum-1972.jpg
Color_Field_Painting,frank-stella_gran-cairo-1962.jpg
Early_Renaissance,fra-angelico_the-story-of-st-nicholas-the-liberation-of-three-innocents-1448.jpg
Early_Renaissance,filippo-lippi_the-funeral-of-st-stephen.jpg
Early_Renaissance,sandro-botticelli_the-virgin-and-child-with-two-angels-and-st-john-the-baptist(1).jpg
Naive_Art_Primitivism,henri-rousseau_portrait-of-pierre-loti.jpg
Naive_Art_Primitivism,grandma-moses_the-burning-of-troy-in-1862-1943.jpg
Naive_Art_Primitivism,tarsila-do-amaral_antropofagia-1929.jpg
Northern_Renaissance,hans-memling_christ-blessing-central-panel-from-a-triptych-from-the-church-of-santa-maria-la-real-najera-1490.jpg
Northern_Renaissance,lucas-cranach-the-elder_albrecht-brandenburg.jpg
Northern_Renaissance,albrecht-altdorfer_florian-result-scenes-for-legend-of-st-florian-1518.jpg
Realism,fyodor-vasilyev_morning-in-a-village.jpg
Realism,vincent-van-gogh_vicarage-and-church-at-etten-1876.jpg
Realism,david-burliuk_gate-of-temple-in-japan-1921.jpg
Romanticism,henry-raeburn_mrs-mclean-of-kinlochaline.jpg
Romanticism,john-hoppner_portrait-of-dorothy-jordan-as-hypolita-c-1791.jpg
Romanticism,gustave-moreau_song-of-songs-1853.jpg
Baroque,alonzo-cano_dead-christ-supported-by-an-angel-1650.jpg
Baroque,canaletto_the-riva-degli-schiavoni.jpg
Baroque,joseph-wright_the-iron-forge-1772.jpg
Synthetic_Cubism,gino-severini_still-life-with-marsala-bottle-1917.jpg
Cubism,albert-gleizes_the-schoolboy-1924.jpg
Cubism,arshile-gorky_blue-figure-in-a-chair.jpg
Expressionism,henri-matisse_bathers-with-a-turtle-1908.jpg
Expressionism,henri-matisse_the-maiden-and-the-vase-of-flowers-or-pink-nude.jpg
Expressionism,pierre-alechinsky_untitled-from-the-portfolio-with-the-grain-of-the-wood-au-fil-du-bois-1973.jpg
Fauvism,john-duncan-fergusson_bathing-boxes-and-tents-at-st-palais-1910.jpg
Fauvism,max-pechstein_indian-and-woman-1910.jpg
Fauvism,max-pechstein_junges-madchen-1908.jpg
High_Renaissance,raphael_the-madonna-conestabile-1502.jpg
High_Renaissance,raphael_the-sistine-madonna-1513.jpg
High_Renaissance,correggio_judith-1514.jpg
Impressionism,edgar-degas_woman-at-her-toilette.jpg
Impressionism,pierre-auguste-renoir_boating-at-argenteuil-1873.jpg
Impressionism,henri-de-toulouse-lautrec_the-dog-sketch-of-touc.jpg
Mannerism_Late_Renaissance,titian_venus-and-cupid-with-an-organist-1549.jpg
Mannerism_Late_Renaissance,tintoretto_prophet-1567-1.jpg
Mannerism_Late_Renaissance,tintoretto_the-virgin-and-child-with-four-senators.jpg
Minimalism,robert-ryman_wing.jpg
Minimalism,alvaro-lapa_criminals-and-their-properties-1974.jpg
Minimalism,denise-green_untitled-vessel-10-1977.jpg
Pop_Art,roy-lichtenstein_the-grip-1962.jpg
Pop_Art,andy-warhol_apple-1.jpg
Pop_Art,nicholas-krushenick_greenwood-1979.jpg
Post_Impressionism,vincent-van-gogh_sheaves-of-wheat-1890-1.jpg
Post_Impressionism,gustave-loiseau_willows-in-fog-1915.jpg
Post_Impressionism,paul-cezanne_mountains-in-provence-l-estaque.jpg
Rococo,canaletto_the-brenta-canal-at-padua.jpg
Rococo,john-russell_rural-employment-1786.jpg
Rococo,louise-elisabeth-vigee-le-brun_marie-antoinette-and-her-children-1787.jpg
Ukiyo_e,keisai-eisen_mitate-yoshiwara-goju-san-tsui-beauty(1).jpg
Ukiyo_e,utagawa-kuniyoshi_women-4.jpg
Ukiyo_e,tsukioka-yoshitoshi_not_detected_242418.jpg
